dataset,top_n,gene_mode,gene_id,fold,modality,f1
CDRP-bio,10,random,rand2,7,Late Fusion,0.17777777777777776
CDRP-bio,10,random,rand3,7,CP,0.19047619047619047
CDRP-bio,10,random,rand3,7,GE,0.0787878787878788
CDRP-bio,10,random,rand3,7,Early Fusion,0.2711988304093567
CDRP-bio,10,random,rand3,7,Late Fusion,0.17142857142857143
CDRP-bio,10,random,rand4,7,CP,0.19047619047619047
CDRP-bio,10,random,rand4,7,GE,0.08571428571428572
CDRP-bio,10,random,rand4,7,Early Fusion,0.2811194653299916
CDRP-bio,10,random,rand4,7,Late Fusion,0.15476190476190474
CDRP-bio,10,random,rand5,7,CP,0.19047619047619047
CDRP-bio,10,random,rand5,7,GE,0.11666666666666667
CDRP-bio,10,random,rand5,7,Early Fusion,0.2793650793650793
CDRP-bio,10,random,rand5,7,Late Fusion,0.1952380952380952
CDRP-bio,10,ranked,r0,8,CP,0.2358974358974359
CDRP-bio,10,ranked,r0,8,GE,0.08148148148148147
CDRP-bio,10,ranked,r0,8,Early Fusion,0.2156862745098039
CDRP-bio,10,ranked,r0,8,Late Fusion,0.20512820512820512
CDRP-bio,10,random,rand1,8,CP,0.2358974358974359
CDRP-bio,10,random,rand1,8,GE,0.029411764705882353
CDRP-bio,10,random,rand1,8,Early Fusion,0.2156862745098039
CDRP-bio,10,random,rand1,8,Late Fusion,0.2161172161172161
CDRP-bio,10,random,rand2,8,CP,0.2358974358974359
CDRP-bio,10,random,rand2,8,GE,0.13174603174603175
CDRP-bio,10,random,rand2,8,Early Fusion,0.20277777777777778
CDRP-bio,10,random,rand2,8,Late Fusion,0.2006802721088435
CDRP-bio,10,random,rand3,8,CP,0.2358974358974359
CDRP-bio,10,random,rand3,8,GE,0.05
CDRP-bio,10,random,rand3,8,Early Fusion,0.2156862745098039
CDRP-bio,10,random,rand3,8,Late Fusion,0.20512820512820512
CDRP-bio,10,random,rand4,8,CP,0.2358974358974359
CDRP-bio,10,random,rand4,8,GE,0.047619047619047616
CDRP-bio,10,random,rand4,8,Early Fusion,0.2648809523809524
CDRP-bio,10,random,rand4,8,Late Fusion,0.19047619047619047
CDRP-bio,10,random,rand5,8,CP,0.2358974358974359
CDRP-bio,10,random,rand5,8,GE,0.047619047619047616
CDRP-bio,10,random,rand5,8,Early Fusion,0.2156862745098039
CDRP-bio,10,random,rand5,8,Late Fusion,0.19047619047619047
CDRP-bio,10,ranked,r0,9,CP,0.13675213675213674
CDRP-bio,10,ranked,r0,9,GE,0.15384615384615385
CDRP-bio,10,ranked,r0,9,Early Fusion,0.11794871794871795
CDRP-bio,10,ranked,r0,9,Late Fusion,0.13630229419703102
CDRP-bio,10,random,rand1,9,CP,0.13675213675213674
CDRP-bio,10,random,rand1,9,GE,0.09333333333333332
CDRP-bio,10,random,rand1,9,Early Fusion,0.11794871794871795
