dataset,top_n,gene_mode,gene_id,fold,modality,f1
LINCS,15,random,rand4,2,Late Fusion,0.14572013633947126
LINCS,15,random,rand5,2,CP,0.14499424699491112
LINCS,15,random,rand5,2,GE,0.03827138419534236
LINCS,15,random,rand5,2,Early Fusion,0.1320259237554533
LINCS,15,random,rand5,2,Late Fusion,0.14160097075824882
LINCS,15,ranked,r0,3,CP,0.2807634721556302
LINCS,15,ranked,r0,3,GE,0.2771481020462714
LINCS,15,ranked,r0,3,Early Fusion,0.2984022796787833
LINCS,15,ranked,r0,3,Late Fusion,0.2968093562734569
LINCS,15,random,rand1,3,CP,0.2807634721556302
LINCS,15,random,rand1,3,GE,0.14854038089087127
LINCS,15,random,rand1,3,Early Fusion,0.282002334257757
LINCS,15,random,rand1,3,Late Fusion,0.291001009665105
LINCS,15,random,rand2,3,CP,0.2807634721556302
LINCS,15,random,rand2,3,GE,0.14717945087110954
LINCS,15,random,rand2,3,Early Fusion,0.27276434223575374
LINCS,15,random,rand2,3,Late Fusion,0.2811692285328482
LINCS,15,random,rand3,3,CP,0.2807634721556302
LINCS,15,random,rand3,3,GE,0.12519920399643014
LINCS,15,random,rand3,3,Early Fusion,0.2857537424821873
LINCS,15,random,rand3,3,Late Fusion,0.2850058472648265
LINCS,15,random,rand4,3,CP,0.2807634721556302
LINCS,15,random,rand4,3,GE,0.12503000536066258
LINCS,15,random,rand4,3,Early Fusion,0.28500772354970255
LINCS,15,random,rand4,3,Late Fusion,0.28857382257832603
LINCS,15,random,rand5,3,CP,0.2807634721556302
LINCS,15,random,rand5,3,GE,0.0718848550378087
LINCS,15,random,rand5,3,Early Fusion,0.26975675982854147
LINCS,15,random,rand5,3,Late Fusion,0.27982370218087976
LINCS,15,ranked,r0,4,CP,0.16795134500465914
LINCS,15,ranked,r0,4,GE,0.13040414831009087
LINCS,15,ranked,r0,4,Early Fusion,0.1778772086669831
LINCS,15,ranked,r0,4,Late Fusion,0.18379756775736353
LINCS,15,random,rand1,4,CP,0.16795134500465914
LINCS,15,random,rand1,4,GE,0.07385569774728698
LINCS,15,random,rand1,4,Early Fusion,0.1662671414416388
LINCS,15,random,rand1,4,Late Fusion,0.17734186595646165
LINCS,15,random,rand2,4,CP,0.16795134500465914
LINCS,15,random,rand2,4,GE,0.07462940903763719
LINCS,15,random,rand2,4,Early Fusion,0.17212075868415924
LINCS,15,random,rand2,4,Late Fusion,0.17874237913863272
LINCS,15,random,rand3,4,CP,0.16795134500465914
LINCS,15,random,rand3,4,GE,0.05428705972950253
