dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
CDRP-bio,20,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,20,random,Early Fusion,0.23686666666666667,0.0755248916534096,0.21996048607477178,0.05745606648501335,,,0.4620666666666666,0.08996820426004834
CDRP-bio,20,random,GE,0.12073333333333335,0.06022542529407204,0.09507947845804988,0.04768567698752246,,,0.2949333333333333,0.09548424341607752
CDRP-bio,20,random,Late Fusion,0.26093333333333335,0.06016774391156284,0.2349455040990755,0.04362042399654941,,,0.46253333333333335,0.0953625149587576
CDRP-bio,20,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,20,ranked,Early Fusion,0.2533333333333333,0.07874889769951632,0.2395074132216989,0.07317362007651088,,,0.42333333333333334,0.10813443279342409
CDRP-bio,20,ranked,GE,0.21933333333333332,0.11392980294900891,0.16046825396825398,0.05765761313767408,,,0.43200000000000005,0.11039952697161139
CDRP-bio,20,ranked,Late Fusion,0.24500000000000002,0.0758287544405155,0.21208815192743763,0.039474200874236254,,,0.45566666666666666,0.10717068421707288
CDRP-bio,20,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,20,wilcoxon_union,Early Fusion,0.269,0.04235432550388318,0.2470818070818071,0.03111323988361987,,,0.49700000000000005,0.113995613950713
CDRP-bio,20,wilcoxon_union,GE,0.21966666666666668,0.04646384496454086,0.17851814058956914,0.04339774911402881,,,0.44699999999999995,0.04790615826801395
CDRP-bio,20,wilcoxon_union,Late Fusion,0.28500000000000003,0.05338539126015656,0.2500277777777778,0.02094014380802892,,,0.5123333333333333,0.1239040847681069
CDRP-bio,200,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,200,random,Early Fusion,0.2952,0.07466331837730701,0.25458815919530203,0.059797642342392675,,,0.5041333333333333,0.0871104024914489
CDRP-bio,200,random,GE,0.18986666666666668,0.07949772882849478,0.14862121925693353,0.05291246621723791,,,0.38780000000000003,0.08603363898520765
