dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
LINCS,15,wilcoxon_union,GE,0.23874561612180306,0.08516266367188663,0.2393284802753087,0.09714232568298797,0.6889642488868688,0.045306821180786216,0.40509205478240534,0.07614828865996734
LINCS,15,wilcoxon_union,Late Fusion,0.267049802925273,0.09730896616359101,0.2529270015641008,0.11065969877141112,0.6768729938948869,0.06394542934935014,0.3792864536742973,0.08631701200547609
LINCS,150,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,150,random,Early Fusion,0.2603676054577108,0.10237355743884419,0.2518304338503028,0.09749913211898838,0.6522660924873207,0.06589525582671958,0.3822180996718263,0.10775838584751951
LINCS,150,random,GE,0.24858046458808505,0.06686688572439506,0.23879027344098866,0.07480804497789545,0.6697470617080182,0.0429486530843668,0.35933341613597497,0.0615085270023609
LINCS,150,random,Late Fusion,0.24818080172137147,0.09113127981223249,0.2374518706297298,0.09124405359756738,0.6611328715609838,0.05222130660123877,0.36024573430980955,0.088028474720315
LINCS,150,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,150,ranked,Early Fusion,0.2597076136607221,0.11391493037020822,0.2525153192858729,0.11256702400487548,0.655789084047799,0.07688871416377459,0.38334260523128,0.11033827418311247
LINCS,150,ranked,GE,0.2779559550771916,0.10344961564913842,0.27673274077673843,0.12075108267503325,0.6792266796328073,0.046208096576168596,0.3831790722339167,0.07928772887146901
LINCS,150,ranked,Late Fusion,0.2576217314267681,0.11406318145076133,0.25104536588878484,0.10894528930930264,0.658654981730158,0.06555633858830039,0.3479188019980611,0.10971092867302232
LINCS,150,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,150,wilcoxon_union,Early Fusion,0.2898546254221603,0.11194038482210156,0.2745681446665877,0.11663614435045679,0.6866097533789516,0.05884657689974885,0.4127536031802608,0.08042962116006847
LINCS,150,wilcoxon_union,GE,0.26399046064730086,0.1049576482955892,0.2548717739273006,0.11816108838725689,0.7130551255530069,0.041547520550583236,0.38938688750686173,0.1041442608623864
LINCS,150,wilcoxon_union,Late Fusion,0.26476641796571354,0.10789821864362545,0.24567785801776099,0.10481298914594811,0.6838939498195863,0.0606806888965054,0.3815789187315825,0.11397142262065746
LINCS,20,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,20,random,Early Fusion,0.271188219506118,0.08805073094831264,0.24339869281177987,0.09715758374144398,0.6630700662716235,0.060322511127728795,0.3802117208937393,0.08954133863290133
LINCS,20,random,GE,0.20699348394268086,0.05735564913562076,0.18612415092050155,0.0674745454342172,0.6310630826819523,0.042582800446181616,0.34927275833935817,0.070075406311608
LINCS,20,random,Late Fusion,0.25270872583561405,0.08581856793276631,0.22778810371884578,0.09227478930888906,0.6580149232397166,0.054213593592891046,0.3632116338732687,0.09273417022206573
LINCS,20,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,20,ranked,Early Fusion,0.2662651313502966,0.09786903966648844,0.2441177520844266,0.10760321556889718,0.6598294846057207,0.06477141005705503,0.3815888537166354,0.09147413407867834
LINCS,20,ranked,GE,0.23792028134606108,0.07062548318764574,0.23792768857321783,0.08259271674678607,0.6776259952963453,0.03300928949748239,0.3743026041852584,0.07150077082864968
LINCS,20,ranked,Late Fusion,0.24792481884202747,0.08813344434978151,0.2301769050197881,0.09229437680484637,0.6571383221625889,0.06641256388361275,0.359558869037566,0.09207488199173773
LINCS,20,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,20,wilcoxon_union,Early Fusion,0.25871779265827827,0.11350276122837935,0.25361547497445713,0.10962974892536577,0.6680758777269215,0.06719077017382916,0.39717479473380524,0.07943749849910633
LINCS,20,wilcoxon_union,GE,0.2598030478120656,0.10587516242667358,0.24792406754783608,0.11670517373683305,0.6894546342554947,0.03745456578999264,0.3951018474712295,0.1013206070526363
LINCS,20,wilcoxon_union,Late Fusion,0.2637867905678334,0.10377762265640082,0.24628378937144477,0.1138351861627058,0.6742362997761489,0.05969372548619997,0.3859403838295365,0.10890724983393152
